127.0.0.1, 2019-04-20 21:32:49, GET, /hw2/default/index, HTTP/1.1, 200, 15.524286
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.88bec7b0141d533f.736872656b2e6a7067.jpg, HTTP/1.1, 304, 0.071864
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.87c4a92c32f39519.70696e6b5f70616e746865722e6a7067.jpg, HTTP/1.1, 304, 0.050454
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.a7b97a1bf9e3d996.6d696e696f6e732e6a7067.jpg, HTTP/1.1, 304, 0.042992
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.b1fa7727373adba5.73706f6e6765626f622e6a7067.jpg, HTTP/1.1, 304, 0.055230
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.a53bdb8b8acc24df.6e656d6f2e6a7067.jpg, HTTP/1.1, 304, 0.071976
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.8916722dd6dd8ec9.746f795f73746f72792e6a7067.jpg, HTTP/1.1, 304, 0.100617
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/default/download/movies.movie_cover.b30e1fc3125002f3.646f776e6c6f6164202832292e6a7067.jpg, HTTP/1.1, 304, 0.185159
127.0.0.1, 2019-04-20 21:32:52, GET, /hw2/static/images/favicon.ico, HTTP/1.1, 200, 0.001846
127.0.0.1, 2019-04-20 21:32:57, GET, /hw2/default/user/register, HTTP/1.1, 200, 0.078301
127.0.0.1, 2019-04-20 21:33:12, POST, /hw2/default/user/register, HTTP/1.1, 303, 0.092080
127.0.0.1, 2019-04-20 21:33:13, GET, /hw2/default/index, HTTP/1.1, 200, 0.105271
127.0.0.1, 2019-04-20 21:33:19, GET, /hw2/default/view_movie_details/3, HTTP/1.1, 200, 0.075446
127.0.0.1, 2019-04-20 21:33:19, GET, /hw2/static/css/movie-details.css, HTTP/1.1, 200, 0.009387
127.0.0.1, 2019-04-20 21:33:23, GET, /hw2/default/index, HTTP/1.1, 200, 0.085762
127.0.0.1, 2019-04-20 21:33:26, GET, /hw2/default/click_smile/3, HTTP/1.1, 303, 0.062403
127.0.0.1, 2019-04-20 21:33:26, GET, /hw2/default/index, HTTP/1.1, 200, 0.145723
127.0.0.1, 2019-04-20 21:33:28, GET, /hw2/default/click_smile/3, HTTP/1.1, 303, 0.053313
127.0.0.1, 2019-04-20 21:33:28, GET, /hw2/default/index, HTTP/1.1, 200, 0.137753
127.0.0.1, 2019-04-21 03:10:32, GET, /hw2/default/index, HTTP/1.1, 500, 3.150569
127.0.0.1, 2019-04-21 03:10:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001682
127.0.0.1, 2019-04-21 03:10:45, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-10-29.47af5a91-c02d-4ba7-b6ca-d85bbed84e7f, HTTP/1.1, 303, 0.451449
127.0.0.1, 2019-04-21 03:10:45, GET, /admin/default/index, HTTP/1.1, 200, 0.614087
127.0.0.1, 2019-04-21 03:10:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2019-04-21 03:10:50, POST, /admin/default/index, HTTP/1.1, 303, 0.188511
127.0.0.1, 2019-04-21 03:10:51, GET, /admin/default/ticket/hw2/127.0.0.1.2019-04-21.03-10-29.47af5a91-c02d-4ba7-b6ca-d85bbed84e7f, HTTP/1.1, 200, 0.380136
